submit_id,hold_d
IDX00001,299.0
IDX00002,481.0
IDX00003,278.0
IDX00004,382.0
IDX00005,18.0
IDX00006,186.0
IDX00007,201.0
IDX00008,866.0
IDX00009,163.0
IDX00010,656.0
IDX00011,243.0
IDX00012,1122.0
IDX00013,613.0
IDX00014,12.0
IDX00015,22.0
IDX00016,6.0
IDX00017,225.0
IDX00018,140.0
IDX00019,426.0
IDX00020,17.0
IDX00021,12.0
IDX00022,1114.0
IDX00023,565.0
IDX00024,32.0
IDX00025,4.0
IDX00026,135.0
IDX00027,134.0
IDX00028,382.0
IDX00029,612.0
IDX00030,426.0
IDX00031,138.0
IDX00032,138.0
IDX00033,1002.0
IDX00034,262.0
IDX00035,24.0
IDX00036,155.0
IDX00037,262.0
IDX00038,1125.0
IDX00039,262.0
IDX00040,1123.0
IDX00041,1113.0
IDX00042,581.0
IDX00043,1115.0
IDX00044,1116.0
IDX00045,1112.0
IDX00046,753.0
IDX00047,1117.0
IDX00048,1122.0
IDX00049,1114.0
IDX00050,1120.0
IDX00051,1113.0
IDX00052,1118.0
IDX00053,280.0
IDX00054,792.0
IDX00055,815.0
IDX00056,290.0
IDX00057,262.0
IDX00058,775.0
IDX00059,776.0
IDX00060,868.0
IDX00061,149.0
IDX00062,820.0
IDX00063,804.0
IDX00064,885.0
IDX00065,718.0
IDX00066,813.0
IDX00067,808.0
IDX00068,146.0
IDX00069,243.0
IDX00070,807.0
IDX00071,864.0
IDX00072,890.0
IDX00073,815.0
IDX00074,1125.0
IDX00075,24.0
IDX00076,296.0
IDX00077,52.0
IDX00078,49.0
IDX00079,293.0
IDX00080,22.0
IDX00081,2.0
IDX00082,1117.0
IDX00083,1122.0
IDX00084,1029.0
IDX00085,14.0
IDX00086,325.0
IDX00087,283.0
IDX00088,46.0
IDX00089,20.0
IDX00090,10.0
IDX00091,2.0
IDX00092,362.0
IDX00093,48.0
IDX00094,24.0
IDX00095,2.0
IDX00096,18.0
IDX00097,16.0
IDX00098,4.0
IDX00099,44.0
IDX00100,206.0
IDX00101,10.0
IDX00102,16.0
IDX00103,76.0
IDX00104,610.0
IDX00105,40.0
IDX00106,186.0
IDX00107,2.0
IDX00108,4.0
IDX00109,190.0
IDX00110,116.0
IDX00111,433.0
IDX00112,201.0
IDX00113,142.0
IDX00114,10.0
IDX00115,380.0
IDX00116,31.0
IDX00117,24.0
IDX00118,4.0
IDX00119,8.0
IDX00120,193.0
IDX00121,2.0
IDX00122,142.0
IDX00123,384.0
IDX00124,98.0
IDX00125,613.0
IDX00126,858.0
IDX00127,387.0
IDX00128,433.0
IDX00129,782.0
IDX00130,2.0
IDX00131,1113.0
IDX00132,56.0
IDX00133,303.0
IDX00134,843.0
IDX00135,189.0
IDX00136,14.0
IDX00137,213.0
IDX00138,924.0
IDX00139,843.0
IDX00140,305.0
IDX00141,213.0
IDX00142,20.0
IDX00143,195.0
IDX00144,14.0
IDX00145,273.0
IDX00146,50.0
IDX00147,168.0
IDX00148,76.0
IDX00149,165.0
IDX00150,74.0
IDX00151,16.0
IDX00152,1118.0
IDX00153,1120.0
IDX00154,1127.0
IDX00155,1125.0
IDX00156,1118.0
IDX00157,536.0
IDX00158,1080.0
IDX00159,186.0
IDX00160,10.0
IDX00161,73.0
IDX00162,285.0
IDX00163,2.0
IDX00164,6.0
IDX00165,942.0
IDX00166,16.0
IDX00167,32.0
IDX00168,24.0
IDX00169,6.0
IDX00170,2.0
IDX00171,8.0
IDX00172,8.0
IDX00173,8.0
IDX00174,349.0
IDX00175,1123.0
IDX00176,813.0
IDX00177,4.0
IDX00178,20.0
IDX00179,60.0
IDX00180,12.0
IDX00181,12.0
IDX00182,34.0
IDX00183,12.0
IDX00184,244.0
IDX00185,1132.0
IDX00186,569.0
IDX00187,14.0
IDX00188,24.0
IDX00189,40.0
IDX00190,50.0
IDX00191,14.0
IDX00192,18.0
IDX00193,35.0
IDX00194,30.0
IDX00195,63.0
IDX00196,36.0
IDX00197,122.0
IDX00198,361.0
IDX00199,1087.0
IDX00200,121.0
IDX00201,156.0
IDX00202,16.0
IDX00203,20.0
IDX00204,72.0
IDX00205,169.0
IDX00206,203.0
IDX00207,170.0
IDX00208,1120.0
IDX00209,121.0
IDX00210,94.0
IDX00211,170.0
IDX00212,232.0
IDX00213,63.0
IDX00214,82.0
IDX00215,158.0
IDX00216,150.0
IDX00217,111.0
